OrderID,OrderDate,CustomerID,Product,Quantity,UnitPrice,Country,TotalPrice
1,2022-01-01 00:00:00,1257,Monitor,1,1845.5,USA,1845.5
2,2022-01-01 00:01:00,1790,Tablet,3,1225.03,USA,3675.09
3,2022-01-01 00:02:00,1670,Laptop,8,434.87,Canada,3478.96
4,2022-01-01 00:03:00,1575,Keyboard,2,1939.24,India,3878.48
5,2022-01-01 00:04:00,1128,Keyboard,4,591.19,USA,2364.76
6,2022-01-01 00:05:00,1887,Keyboard,5,1144.5,India,5722.5
7,2022-01-01 00:06:00,1491,Monitor,5,1078.19,UK,5390.95
8,2022-01-01 00:07:00,1285,Keyboard,2,1758.15,Germany,3516.3
9,2022-01-01 00:08:00,1743,Phone,4,1605.64,UK,6422.56
10,2022-01-01 00:09:00,1138,Tablet,1,1260.32,UK,1260.32
11,2022-01-01 00:10:00,1557,Phone,1,1272.81,USA,1272.81
12,2022-01-01 00:11:00,1730,Laptop,3,998.87,UK,2996.61
13,2022-01-01 00:12:00,1747,Tablet,1,938.06,UK,938.06
14,2022-01-01 00:13:00,1733,Laptop,9,1962.73,Canada,17664.57
15,2022-01-01 00:14:00,1401,Phone,9,1994.9,India,17954.1
16,2022-01-01 00:15:00,1887,Laptop,7,521.07,USA,3647.49
17,2022-01-01 00:16:00,1783,Keyboard,7,1683.06,Germany,11781.42
18,2022-01-01 00:17:00,1329,Laptop,5,1979.34,Canada,9896.7
19,2022-01-01 00:18:00,1951,Monitor,2,1508.65,India,3017.3
20,2022-01-01 00:19:00,1090,Monitor,3,1832.18,USA,5496.54
21,2022-01-01 00:20:00,1258,Keyboard,8,754.35,India,6034.8
22,2022-01-01 00:21:00,1530,Tablet,9,1963.6,Canada,17672.4
23,2022-01-01 00:22:00,1004,Laptop,2,1764.64,USA,3529.28
24,2022-01-01 00:23:00,1375,Keyboard,6,476.68,UK,2860.08
25,2022-01-01 00:24:00,1573,Monitor,1,259.75,India,259.75
26,2022-01-01 00:25:00,1642,Keyboard,2,1081.12,UK,2162.24
27,2022-01-01 00:26:00,1301,Laptop,4,1011.96,UK,4047.84
28,2022-01-01 00:27:00,1503,Monitor,3,520.87,Germany,1562.61
29,2022-01-01 00:28:00,1443,Laptop,6,1262.04,Canada,7572.24
30,2022-01-01 00:29:00,1270,Tablet,5,126.65,Canada,633.25
31,2022-01-01 00:30:00,1677,Phone,4,404.0,India,1616.0
32,2022-01-01 00:31:00,1990,Laptop,3,1628.61,UK,4885.83
33,2022-01-01 00:32:00,1567,Monitor,3,1130.58,UK,3391.74
34,2022-01-01 00:33:00,1002,Laptop,6,1163.6,India,6981.6
35,2022-01-01 00:34:00,1428,Monitor,7,1398.26,UK,9787.82
36,2022-01-01 00:35:00,1718,Keyboard,1,1006.9,India,1006.9
37,2022-01-01 00:36:00,1137,Phone,1,1692.41,UK,1692.41
38,2022-01-01 00:37:00,1908,Monitor,4,1294.29,India,5177.16
39,2022-01-01 00:38:00,1794,Laptop,3,1846.69,UK,5540.07
40,2022-01-01 00:39:00,1425,Laptop,1,869.06,India,869.06
41,2022-01-01 00:40:00,1009,Tablet,9,1458.75,USA,13128.75
42,2022-01-01 00:41:00,1027,Monitor,3,1516.96,USA,4550.88
43,2022-01-01 00:42:00,1087,Laptop,5,769.44,USA,3847.2
44,2022-01-01 00:43:00,1567,Monitor,3,1262.95,India,3788.85
45,2022-01-01 00:44:00,1343,Laptop,3,253.0,Canada,759.0
46,2022-01-01 00:45:00,1882,Phone,8,154.04,Germany,1232.32
47,2022-01-01 00:46:00,1439,Laptop,9,115.31,India,1037.79
48,2022-01-01 00:47:00,1907,Tablet,9,140.64,Germany,1265.76
49,2022-01-01 00:48:00,1613,Tablet,1,366.9,Canada,366.9
50,2022-01-01 00:49:00,1402,Tablet,5,396.27,Germany,1981.35
51,2022-01-01 00:50:00,1483,Keyboard,8,1444.35,UK,11554.8
52,2022-01-01 00:51:00,1943,Monitor,3,459.23,India,1377.69
53,2022-01-01 00:52:00,1229,Keyboard,2,250.73,Germany,501.46
54,2022-01-01 00:53:00,1000,Keyboard,8,262.46,Germany,2099.68
55,2022-01-01 00:54:00,1916,Phone,2,1161.56,Germany,2323.12
56,2022-01-01 00:55:00,1644,Laptop,9,570.66,India,5135.94
57,2022-01-01 00:56:00,1375,Monitor,1,1722.32,USA,1722.32
58,2022-01-01 00:57:00,1948,Tablet,9,726.96,India,6542.64
59,2022-01-01 00:58:00,1037,Keyboard,3,1961.48,UK,5884.44
60,2022-01-01 00:59:00,1371,Laptop,2,1932.22,India,3864.44
61,2022-01-01 01:00:00,1699,Keyboard,2,596.39,UK,1192.78
62,2022-01-01 01:01:00,1522,Keyboard,6,885.78,USA,5314.68
63,2022-01-01 01:02:00,1522,Tablet,5,250.43,UK,1252.15
64,2022-01-01 01:03:00,1140,Keyboard,3,702.8,Germany,2108.4
65,2022-01-01 01:04:00,1073,Phone,5,1036.27,India,5181.35
66,2022-01-01 01:05:00,1278,Phone,2,1004.14,USA,2008.28
67,2022-01-01 01:06:00,1329,Laptop,8,679.17,India,5433.36
68,2022-01-01 01:07:00,1074,Laptop,9,1512.39,UK,13611.51
69,2022-01-01 01:08:00,1010,Monitor,4,1117.98,UK,4471.92
70,2022-01-01 01:09:00,1860,Tablet,4,1847.93,USA,7391.72
71,2022-01-01 01:10:00,1537,Phone,4,550.8,India,2203.2
72,2022-01-01 01:11:00,1307,Tablet,9,240.47,Germany,2164.23
73,2022-01-01 01:12:00,1466,Laptop,6,350.82,UK,2104.92
74,2022-01-01 01:13:00,1818,Laptop,3,336.15,Canada,1008.45
75,2022-01-01 01:14:00,1844,Tablet,7,1816.49,UK,12715.43
76,2022-01-01 01:15:00,1393,Phone,9,136.71,UK,1230.39
77,2022-01-01 01:16:00,1308,Keyboard,7,1493.59,Germany,10455.13
78,2022-01-01 01:17:00,1881,Monitor,7,1491.75,Germany,10442.25
79,2022-01-01 01:18:00,1969,Tablet,7,1077.4,USA,7541.8
80,2022-01-01 01:19:00,1431,Laptop,1,502.56,Germany,502.56
81,2022-01-01 01:20:00,1320,Laptop,9,282.12,Canada,2539.08
82,2022-01-01 01:21:00,1076,Keyboard,7,787.55,USA,5512.85
83,2022-01-01 01:22:00,1232,Phone,7,1812.81,Germany,12689.67
84,2022-01-01 01:23:00,1945,Laptop,9,1711.67,Canada,15405.03
85,2022-01-01 01:24:00,1963,Phone,8,1682.33,USA,13458.64
86,2022-01-01 01:25:00,1780,Phone,6,1839.47,India,11036.82
87,2022-01-01 01:26:00,1436,Keyboard,4,1771.42,UK,7085.68
88,2022-01-01 01:27:00,1185,Tablet,6,1084.63,Canada,6507.78
89,2022-01-01 01:28:00,1196,Tablet,3,1734.08,UK,5202.24
90,2022-01-01 01:29:00,1377,Laptop,1,1720.54,Germany,1720.54
91,2022-01-01 01:30:00,1458,Keyboard,8,333.61,India,2668.88
92,2022-01-01 01:31:00,1224,Monitor,5,1233.22,Germany,6166.1
93,2022-01-01 01:32:00,1663,Phone,2,806.39,Canada,1612.78
94,2022-01-01 01:33:00,1243,Phone,7,1582.84,USA,11079.88
95,2022-01-01 01:34:00,1960,Laptop,6,330.27,USA,1981.62
96,2022-01-01 01:35:00,1166,Phone,3,1733.54,Germany,5200.62
97,2022-01-01 01:36:00,1487,Laptop,1,398.58,UK,398.58
98,2022-01-01 01:37:00,1669,Phone,4,1976.79,UK,7907.16
99,2022-01-01 01:38:00,1251,Monitor,4,696.12,USA,2784.48
100,2022-01-01 01:39:00,1250,Monitor,9,1612.15,Germany,14509.35
101,2022-01-01 01:40:00,1641,Keyboard,7,1354.38,India,9480.66
102,2022-01-01 01:41:00,1615,Phone,4,763.12,USA,3052.48
103,2022-01-01 01:42:00,1619,Tablet,4,1456.69,India,5826.76
104,2022-01-01 01:43:00,1016,Monitor,7,1416.51,UK,9915.57
105,2022-01-01 01:44:00,1161,Tablet,9,1317.52,Germany,11857.68
106,2022-01-01 01:45:00,1855,Phone,9,1114.85,India,10033.65
107,2022-01-01 01:46:00,1895,Laptop,5,1956.96,India,9784.8
108,2022-01-01 01:47:00,1214,Phone,7,1039.88,USA,7279.16
109,2022-01-01 01:48:00,1916,Monitor,6,1024.43,USA,6146.58
110,2022-01-01 01:49:00,1760,Laptop,1,900.94,Canada,900.94
111,2022-01-01 01:50:00,1351,Tablet,4,1338.2,Canada,5352.8
112,2022-01-01 01:51:00,1458,Monitor,2,737.46,UK,1474.92
113,2022-01-01 01:52:00,1968,Monitor,6,1252.28,Canada,7513.68
114,2022-01-01 01:53:00,1851,Laptop,4,765.23,Canada,3060.92
115,2022-01-01 01:54:00,1173,Keyboard,9,421.17,UK,3790.53
116,2022-01-01 01:55:00,1530,Monitor,1,1567.13,India,1567.13
117,2022-01-01 01:56:00,1541,Monitor,6,766.33,USA,4597.98
118,2022-01-01 01:57:00,1839,Tablet,4,855.87,USA,3423.48
119,2022-01-01 01:58:00,1535,Tablet,2,523.98,UK,1047.96
120,2022-01-01 01:59:00,1814,Phone,5,1114.93,UK,5574.65
121,2022-01-01 02:00:00,1037,Monitor,3,1304.7,Germany,3914.1
122,2022-01-01 02:01:00,1117,Tablet,1,1607.73,India,1607.73
123,2022-01-01 02:02:00,1307,Phone,8,1624.25,India,12994.0
124,2022-01-01 02:03:00,1974,Laptop,2,1419.02,Germany,2838.04
125,2022-01-01 02:04:00,1147,Laptop,2,1105.5,USA,2211.0
126,2022-01-01 02:05:00,1640,Phone,3,1375.49,Canada,4126.47
127,2022-01-01 02:06:00,1884,Monitor,3,1374.67,USA,4124.01
128,2022-01-01 02:07:00,1348,Monitor,2,1293.32,Canada,2586.64
129,2022-01-01 02:08:00,1533,Keyboard,2,1840.22,Canada,3680.44
130,2022-01-01 02:09:00,1273,Monitor,5,1434.6,USA,7173.0
131,2022-01-01 02:10:00,1461,Tablet,2,1086.47,India,2172.94
132,2022-01-01 02:11:00,1792,Tablet,2,858.11,India,1716.22
133,2022-01-01 02:12:00,1102,Monitor,5,1276.2,India,6381.0
134,2022-01-01 02:13:00,1162,Tablet,6,1505.97,India,9035.82
